	NormDegree	StromaNorm	EpiNorm	BrPDegree	StromaBrP	EpiBrP	BrNDegree	StromaBrN	EpiBrN	norm.self	erp.self	ern.self
ECI2	0	0	0	1	1	0	0	0	0	0	0	0
CDK4	0	0	0	1	1	0	1	0	1	0	0	0
PER1	0	0	0	3	1	2	0	0	0	0	0	0
COIL	0	0	0	1	1	0	1	0	1	0	0	0
VRK3	0	0	0	19	0	19	0	0	0	0	0	0
SLC39A14	0	0	0	2	0	2	0	0	0	0	0	0
BAHD1	0	0	0	3	0	3	0	0	0	0	0	0
FUZ	0	0	0	1	0	1	0	0	0	0	0	0
KCNJ6	0	0	0	7	0	7	5	5	0	0	0	0
SEMA4C	0	0	0	5	0	5	1	1	0	0	0	0
LRP4	0	0	0	1	0	1	0	0	0	0	0	0
ALOX12	0	0	0	9	0	9	0	0	0	0	0	0
LRRC48	0	0	0	8	0	8	4	4	0	0	0	0
BMP7	0	0	0	4	0	4	0	0	0	0	0	0
CCL8	0	0	0	4	0	4	0	0	0	0	0	0
CIDEC	0	0	0	5	0	5	1	0	1	0	0	0
TPST1	0	0	0	31	0	31	0	0	0	0	0	0
KIAA1279	0	0	0	1	0	1	0	0	0	0	0	0
IL1RAPL2	0	0	0	9	0	9	2	1	1	0	0	0
NPM1	0	0	0	4	0	4	0	0	0	0	0	0
HS3ST3A1	0	0	0	1	0	1	0	0	0	0	0	0
RASIP1	0	0	0	5	0	5	1	0	1	0	0	0
LPCAT3	0	0	0	10	0	10	1	1	0	0	0	0
YSK4	0	0	0	8	0	8	19	2	17	0	0	0
LIMD2	0	0	0	1	0	1	0	0	0	0	0	0
HDLBP	0	0	0	4	0	4	0	0	0	0	0	0
ZFP36	0	0	0	5	0	5	0	0	0	0	0	0
CA5B	0	0	0	3	0	3	0	0	0	0	0	0
GRM7	0	0	0	5	0	5	1	0	1	0	0	0
HMGN5	0	0	0	1	0	1	0	0	0	0	0	0
PAGE1	0	0	0	11	0	11	0	0	0	0	0	0
HYAL1	0	0	0	6	0	6	2	0	2	0	0	0
SHMT1	0	0	0	1	0	1	1	0	1	0	0	0
RPL7A	0	0	0	17	0	17	0	0	0	0	0	0
TAS2R13	0	0	0	8	0	8	2	1	1	0	0	0
MKRN3	0	0	0	3	0	3	8	7	1	0	0	0
PMFBP1	0	0	0	2	0	2	3	0	3	0	0	0
BCL7A	0	0	0	1	0	1	0	0	0	0	0	0
FBXL18	0	0	0	2	0	2	0	0	0	0	0	0
C10orf72	0	0	0	1	0	1	0	0	0	0	0	0
AGFG2	0	0	0	1	0	1	0	0	0	0	0	0
RASAL2	0	0	0	7	0	7	2	0	2	0	0	0
KCNJ16	0	0	0	3	0	3	5	2	3	0	0	0
C10orf76	0	0	0	3	0	3	0	0	0	0	0	0
GALNT12	0	0	0	3	0	3	0	0	0	0	0	0
FGF16	0	0	0	13	0	13	12	11	1	0	0	0
SAFB	0	0	0	6	0	6	0	0	0	0	0	0
MC5R	0	0	0	1	0	1	0	0	0	0	0	0
DDX3Y	0	0	0	6	0	6	0	0	0	0	0	0
TSKS	0	0	0	6	0	6	1	0	1	0	0	0
VEZF1	0	0	0	1	0	1	0	0	0	0	0	0
TMUB2	0	0	0	2	0	2	4	4	0	0	0	0
NLRX1	0	0	0	2	0	2	0	0	0	0	0	0
MDH2	0	0	0	16	0	16	33	33	0	0	0	0
DBT	0	0	0	13	0	13	6	0	6	0	0	0
TOMM70A	0	0	0	3	0	3	6	2	4	0	0	0
ATP2A1	0	0	0	21	0	21	1	0	1	0	0	0
PFKM	0	0	0	1	0	1	0	0	0	0	0	0
CDH7	0	0	0	12	0	12	22	0	22	0	0	0
NTRK2	0	0	0	1	0	1	0	0	0	0	0	0
ANO10	0	0	0	3	0	3	0	0	0	0	0	0
MED14	0	0	0	10	0	10	2	1	1	0	0	0
RMND5A	0	0	0	2	0	2	1	0	1	0	0	0
TRPC3	0	0	0	4	0	4	0	0	0	0	0	0
TOPORS	0	0	0	1	0	1	0	0	0	0	0	0
PDHB	0	0	0	7	0	7	0	0	0	0	0	0
HERC1	0	0	0	1	0	1	0	0	0	0	0	0
SUGP1	0	0	0	3	0	3	0	0	0	0	0	0
SP110	0	0	0	6	0	6	2	0	2	0	0	0
MTMR8	0	0	0	7	0	7	8	0	8	0	0	0
HOXA2	0	0	0	2	0	2	0	0	0	0	0	0
KRT3	0	0	0	5	0	5	0	0	0	0	0	0
NPHP4	0	0	0	3	0	3	0	0	0	0	0	0
PLXNA2	0	0	0	2	0	2	0	0	0	0	0	0
ATP5G2	0	0	0	3	0	3	0	0	0	0	0	0
CA11	0	0	0	1	0	1	0	0	0	0	0	0
FOLR1	0	0	0	10	0	10	0	0	0	0	0	0
C11orf58	0	0	0	2	0	2	1	1	0	0	0	0
CSF3R	0	0	0	2	0	2	0	0	0	0	0	0
ARF4	0	0	0	5	0	5	0	0	0	0	0	0
TCP11L1	0	0	0	12	0	12	0	0	0	0	0	0
ZNF93	0	0	0	6	0	6	1	0	1	0	0	0
RHCG	0	0	0	2	0	2	0	0	0	0	0	0
STARD5	0	0	0	9	0	9	0	0	0	0	0	0
BNIP1	0	0	0	5	0	5	0	0	0	0	0	0
SCN1A	0	0	0	7	0	7	0	0	0	0	0	0
MLXIP	0	0	0	7	0	7	0	0	0	0	0	0
PDLIM1	0	0	0	3	0	3	0	0	0	0	0	0
EDN3	0	0	0	1	0	1	0	0	0	0	0	0
CIB2	0	0	0	3	0	3	0	0	0	0	0	0
SND1	0	0	0	1	0	1	0	0	0	0	0	0
SIGLEC1	0	0	0	5	0	5	2	1	1	0	0	0
NGF	0	0	0	4	0	4	0	0	0	0	0	0
CELA3B	0	0	0	1	0	1	1	0	1	0	0	0
PFKFB4	0	0	0	9	0	9	0	0	0	0	0	0
SIRPB1	0	0	0	1	0	1	1	0	1	0	0	0
MAGEC3	0	0	0	1	0	1	15	13	2	0	0	0
MCTS1	0	0	0	11	0	11	1	1	0	0	0	0
C2orf67	0	0	0	2	0	2	0	0	0	0	0	0
TYROBP	0	0	0	4	0	4	1	0	1	0	0	0
TMEM22	0	0	0	1	0	1	2	0	2	0	0	0
ADCK2	0	0	0	1	0	1	2	1	1	0	0	0
PIK3C2G	0	0	0	1	0	1	4	0	4	0	0	0
SEMA4G	0	0	0	4	0	4	5	5	0	0	0	0
PPM1A	0	0	0	3	0	3	0	0	0	0	0	0
BAIAP2	0	0	0	2	0	2	0	0	0	0	0	0
IBSP	0	0	0	4	0	4	0	0	0	0	0	0
KCTD20	0	0	0	2	0	2	0	0	0	0	0	0
HSD17B4	0	0	0	10	0	10	2	1	1	0	0	0
KIAA0562	0	0	0	2	0	2	0	0	0	0	0	0
PCSK1N	0	0	0	3	0	3	0	0	0	0	0	0
U2AF1	0	0	0	1	0	1	1	0	1	0	0	0
FTO	0	0	0	1	0	1	1	0	1	0	0	0
DPH1	0	0	0	1	0	1	0	0	0	0	0	0
FGF14	0	0	0	2	0	2	1	1	0	0	0	0
POU2F2	0	0	0	3	0	3	0	0	0	0	0	0
EPHA3	0	0	0	3	0	3	0	0	0	0	0	0
TNFRSF4	0	0	0	2	0	2	0	0	0	0	0	0
SMC4	0	0	0	3	0	3	4	4	0	0	0	0
TRA2B	0	0	0	5	0	5	0	0	0	0	0	0
MRPS16	0	0	0	2	0	2	4	2	2	0	0	0
RSAD1	0	0	0	5	0	5	0	0	0	0	0	0
SRPX2	0	0	0	4	0	4	1	1	0	0	0	0
FAM53C	0	0	0	1	0	1	0	0	0	0	0	0
PRSS3	0	0	0	3	0	3	0	0	0	0	0	0
MUC13	0	0	0	9	0	9	1	1	0	0	0	0
GFPT2	0	0	0	1	0	1	0	0	0	0	0	0
ACTR3	0	0	0	2	0	2	1	1	0	0	0	0
KRR1	0	0	0	1	0	1	0	0	0	0	0	0
PAN2	0	0	0	6	0	6	0	0	0	0	0	0
CPN1	0	0	0	3	0	3	4	3	1	0	0	0
ABCC9	0	0	0	3	0	3	1	0	1	0	0	0
COX5B	0	0	0	5	0	5	1	0	1	0	0	0
ISCU	0	0	0	8	0	8	0	0	0	0	0	0
RALA	0	0	0	1	0	1	0	0	0	0	0	0
RALGAPA1	0	0	0	3	0	3	1	0	1	0	0	0
CD14	0	0	0	1	0	1	0	0	0	0	0	0
MDM4	0	0	0	1	0	1	0	0	0	0	0	0
CA5A	0	0	0	2	0	2	0	0	0	0	0	0
MYRIP	0	0	0	2	0	2	3	1	2	0	0	0
ZBED4	0	0	0	8	0	8	2	0	2	0	0	0
ATP5I	0	0	0	3	0	3	5	5	0	0	0	0
GRIK1	0	0	0	6	0	6	0	0	0	0	0	0
AKAP5	0	0	0	1	0	1	4	0	4	0	0	0
FBXL2	0	0	0	1	0	1	1	0	1	0	0	0
ANO2	0	0	0	2	0	2	0	0	0	0	0	0
MOG	0	0	0	2	0	2	7	0	7	0	0	0
MED7	0	0	0	5	0	5	0	0	0	0	0	0
HNMT	0	0	0	1	0	1	0	0	0	0	0	0
GPER	0	0	0	3	0	3	1	1	0	0	0	0
UQCR10	0	0	0	2	0	2	2	2	0	0	0	0
CASC3	0	0	0	3	0	3	1	0	1	0	0	0
ANKRD53	0	0	0	2	0	2	0	0	0	0	0	0
CEBPA	0	0	0	1	0	1	0	0	0	0	0	0
NUS1	0	0	0	4	0	4	0	0	0	0	0	0
ALPI	0	0	0	3	0	3	0	0	0	0	0	0
GNA13	0	0	0	2	0	2	1	0	1	0	0	0
TYRP1	0	0	0	2	0	2	1	0	1	0	0	0
MED13L	0	0	0	1	0	1	0	0	0	0	0	0
ALPK3	0	0	0	1	0	1	1	0	1	0	0	0
ARHGEF4	0	0	0	4	0	4	0	0	0	0	0	0
AES	0	0	0	2	0	2	0	0	0	0	0	0
PRUNE2	0	0	0	6	0	6	0	0	0	0	0	0
ANKRD57	0	0	0	1	0	1	0	0	0	0	0	0
MMP14	0	0	0	1	0	1	1	1	0	0	0	0
EXD2	0	0	0	1	0	1	0	0	0	0	0	0
KCTD5	0	0	0	2	0	2	2	1	1	0	0	0
ALG6	0	0	0	2	0	2	1	0	1	0	0	0
ABLIM3	0	0	0	5	0	5	0	0	0	0	0	0
DCLK2	0	0	0	7	0	7	0	0	0	0	0	0
LSM1	0	0	0	1	0	1	3	2	1	0	0	0
PARVB	0	0	0	3	0	3	1	0	1	0	0	0
CX3CL1	0	0	0	3	0	3	0	0	0	0	0	0
KIAA0513	0	0	0	1	0	1	0	0	0	0	0	0
CROCC	0	0	0	1	0	1	4	1	3	0	0	0
SIRPA	0	0	0	1	0	1	2	2	0	0	0	0
CCDC9	0	0	0	1	0	1	0	0	0	0	0	0
TNP1	0	0	0	1	0	1	0	0	0	0	0	0
SLC10A2	0	0	0	3	0	3	2	0	2	0	0	0
THBS2	0	0	0	4	0	4	0	0	0	0	0	0
SLAMF1	0	0	0	3	0	3	0	0	0	0	0	0
MAPRE2	0	0	0	9	0	9	1	0	1	0	0	0
MLANA	0	0	0	1	0	1	0	0	0	0	0	0
B4GALT6	0	0	0	1	0	1	14	7	7	0	0	0
PSMC5	0	0	0	2	0	2	3	3	0	0	0	0
TEX28	0	0	0	1	0	1	0	0	0	0	0	0
PILRA	0	0	0	5	0	5	3	3	0	0	0	0
THAP11	0	0	0	2	0	2	5	0	5	0	0	0
NIT2	0	0	0	1	0	1	0	0	0	0	0	0
LDHC	0	0	0	2	0	2	1	0	1	0	0	0
EPS8L2	0	0	0	1	0	1	0	0	0	0	0	0
PLXNB3	0	0	0	2	0	2	0	0	0	0	0	0
C12orf10	0	0	0	3	0	3	0	0	0	0	0	0
KRT34	0	0	0	10	0	10	2	0	2	0	0	0
EID1	0	0	0	3	0	3	0	0	0	0	0	0
ZC4H2	0	0	0	3	0	3	0	0	0	0	0	0
C11orf75	0	0	0	2	0	2	2	0	2	0	0	0
C12orf47	0	0	0	1	0	1	1	0	1	0	0	0
MAP9	0	0	0	2	0	2	2	1	1	0	0	0
CRTAC1	0	0	0	3	0	3	0	0	0	0	0	0
RUFY1	0	0	0	1	0	1	0	0	0	0	0	0
ORAI3	0	0	0	1	0	1	1	1	0	0	0	0
PEX7	0	0	0	1	0	1	2	0	2	0	0	0
SLC7A10	0	0	0	1	0	1	0	0	0	0	0	0
SPICE1	0	0	0	1	0	1	0	0	0	0	0	0
EIF3K	0	0	0	4	0	4	4	4	0	0	0	0
MYH11	0	0	0	3	0	3	0	0	0	0	0	0
USP49	0	0	0	3	0	3	0	0	0	0	0	0
PIK3CA	0	0	0	1	0	1	0	0	0	0	0	0
PTK7	0	0	0	1	0	1	0	0	0	0	0	0
SDPR	0	0	0	2	0	2	7	7	0	0	0	0
GSK3A	0	0	0	6	0	6	0	0	0	0	0	0
ZNF193	0	0	0	1	0	1	0	0	0	0	0	0
FAM115A	0	0	0	1	0	1	0	0	0	0	0	0
MYH7B	0	0	0	1	0	1	0	0	0	0	0	0
CHD5	0	0	0	1	0	1	9	6	3	0	0	0
JMJD6	0	0	0	1	0	1	1	1	0	0	0	0
ADAMTS13	0	0	0	4	0	4	0	0	0	0	0	0
BCAS4	0	0	0	1	0	1	0	0	0	0	0	0
NR1D2	0	0	0	2	0	2	0	0	0	0	0	0
DBF4	0	0	0	5	0	5	11	7	4	0	0	0
RPP14	0	0	0	1	0	1	0	0	0	0	0	0
PMS1	0	0	0	1	0	1	0	0	0	0	0	0
CTSO	0	0	0	1	0	1	1	0	1	0	0	0
GLB1	0	0	0	6	0	6	0	0	0	0	0	0
EXOSC2	0	0	0	1	0	1	2	0	2	0	0	0
BRD2	0	0	0	1	0	1	1	1	0	0	0	0
DNAJA2	0	0	0	1	0	1	0	0	0	0	0	0
LIG1	0	0	0	1	0	1	17	15	2	0	0	0
EFS	0	0	0	1	0	1	3	1	2	0	0	0
SNAI1	0	0	0	14	0	14	0	0	0	0	0	0
ADA	0	0	0	3	0	3	1	0	1	0	0	0
RGS20	0	0	0	3	0	3	3	3	0	0	0	0
ST18	0	0	0	2	0	2	2	1	1	0	0	0
PYCR1	0	0	0	1	0	1	0	0	0	0	0	0
APEX2	0	0	0	2	0	2	2	0	2	0	0	0
DDX41	0	0	0	2	0	2	2	2	0	0	0	0
CGGBP1	0	0	0	3	0	3	0	0	0	0	0	0
COL5A1	0	0	0	1	0	1	0	0	0	0	0	0
KLHL7	0	0	0	4	0	4	0	0	0	0	0	0
RNF219	0	0	0	2	0	2	2	1	1	0	0	0
MSL2	0	0	0	2	0	2	0	0	0	0	0	0
S100B	0	0	0	1	0	1	0	0	0	0	0	0
ZNF706	0	0	0	1	0	1	4	4	0	0	0	0
ERICH1	0	0	0	2	0	2	0	0	0	0	0	0
CELF3	0	0	0	4	0	4	0	0	0	0	0	0
CEP192	0	0	0	2	0	2	0	0	0	0	0	0
HHEX	0	0	0	1	0	1	2	0	2	0	0	0
PNKP	0	0	0	2	0	2	0	0	0	0	0	0
BRCC3	0	0	0	2	0	2	1	1	0	0	0	0
CLCN6	0	0	0	3	0	3	0	0	0	0	0	0
CCDC99	0	0	0	1	0	1	1	0	1	0	0	0
NUP85	0	0	0	1	0	1	0	0	0	0	0	0
RPL26L1	0	0	0	5	0	5	1	0	1	0	0	0
HLA.DOB	0	0	0	1	0	1	2	0	2	0	0	0
TERT	0	0	0	3	0	3	1	0	1	0	0	0
CSTF1	0	0	0	3	0	3	0	0	0	0	0	0
XPNPEP2	0	0	0	4	0	4	0	0	0	0	0	0
KLC2	0	0	0	1	0	1	0	0	0	0	0	0
DDIT3	0	0	0	1	0	1	1	1	0	0	0	0
LUC7L	0	0	0	3	0	3	0	0	0	0	0	0
CLTC	0	0	0	1	0	1	2	0	2	0	0	0
GLI2	0	0	0	2	0	2	8	3	5	0	0	0
EIF2AK2	0	0	0	4	0	4	0	0	0	0	0	0
PALB2	0	0	0	1	0	1	0	0	0	0	0	0
MCOLN3	0	0	0	2	0	2	0	0	0	0	0	0
ZNF444	0	0	0	4	0	4	0	0	0	0	0	0
EGLN3	0	0	0	3	0	3	5	0	5	0	0	0
SDF4	0	0	0	3	0	3	3	0	3	0	0	0
PBLD	0	0	0	1	0	1	0	0	0	0	0	0
CLIC1	0	0	0	2	0	2	0	0	0	0	0	0
GPX7	0	0	0	1	0	1	1	0	1	0	0	0
SAMD4B	0	0	0	1	0	1	0	0	0	0	0	0
GUCY2D	0	0	0	3	0	3	0	0	0	0	0	0
HAMP	0	0	0	5	0	5	0	0	0	0	0	0
HIPK3	0	0	0	1	0	1	6	6	0	0	0	0
COX8A	0	0	0	1	0	1	2	2	0	0	0	0
TOMM40	0	0	0	1	0	1	2	0	2	0	0	0
PPM1E	0	0	0	1	0	1	5	0	5	0	0	0
DUS1L	0	0	0	2	0	2	1	0	1	0	0	0
BTNL3	0	0	0	1	0	1	9	7	2	0	0	0
POP5	0	0	0	1	0	1	20	18	2	0	0	0
AIP	0	0	0	1	0	1	1	1	0	0	0	0
NRAS	0	0	0	1	0	1	1	1	0	0	0	0
MCRS1	0	0	0	1	0	1	0	0	0	0	0	0
PTPRZ1	0	0	0	1	0	1	2	0	2	0	0	0
CNPY2	0	0	0	6	0	6	2	2	0	0	0	0
NIPSNAP3B	0	0	0	5	0	5	0	0	0	0	0	0
CXorf56	0	0	0	1	0	1	1	1	0	0	0	0
IL17RC	0	0	0	3	0	3	0	0	0	0	0	0
HECW1	0	0	0	2	0	2	2	2	0	0	0	0
PRDX1	0	0	0	3	0	3	0	0	0	0	0	0
XRCC4	0	0	0	1	0	1	0	0	0	0	0	0
PRKAG1	0	0	0	1	0	1	0	0	0	0	0	0
ATG4B	0	0	0	1	0	1	0	0	0	0	0	0
DNAJC11	0	0	0	1	0	1	0	0	0	0	0	0
LAX1	0	0	0	2	0	2	1	0	1	0	0	0
BCL2L10	0	0	0	1	0	1	0	0	0	0	0	0
PIP5K1B	0	0	0	4	0	4	0	0	0	0	0	0
AAAS	0	0	0	1	0	1	0	0	0	0	0	0
PDPK1	0	0	0	3	0	3	2	1	1	0	0	0
UTP20	0	0	0	2	0	2	0	0	0	0	0	0
SLC15A1	0	0	0	1	0	1	2	1	1	0	0	0
RPP38	0	0	0	2	0	2	4	2	2	0	0	0
C10orf118	0	0	0	2	0	2	1	0	1	0	0	0
ADAMTS8	0	0	0	1	0	1	4	1	3	0	0	0
SUMO3	0	0	0	1	0	1	1	0	1	0	0	0
ADAM30	0	0	0	2	0	2	1	0	1	0	0	0
APOA1	0	0	0	2	0	2	0	0	0	0	0	0
CYP1A2	0	0	0	4	0	4	3	2	1	0	0	0
FAM107A	0	0	0	1	0	1	0	0	0	0	0	0
SYNM	0	0	0	2	0	2	0	0	0	0	0	0
RNF186	0	0	0	1	0	1	0	0	0	0	0	0
WNT1	0	0	0	1	0	1	0	0	0	0	0	0
ZNF225	0	0	0	1	0	1	0	0	0	0	0	0
ACO2	0	0	0	1	0	1	1	1	0	0	0	0
NFS1	0	0	0	2	0	2	2	0	2	0	0	0
GSC2	0	0	0	1	0	1	2	0	2	0	0	0
CYP26A1	0	0	0	3	0	3	0	0	0	0	0	0
SCO2	0	0	0	3	0	3	2	2	0	0	0	0
C1orf54	0	0	0	4	0	4	2	1	1	0	0	0
PROSC	0	0	0	1	0	1	0	0	0	0	0	0
ATP5D	0	0	0	3	0	3	0	0	0	0	0	0
C22orf43	0	0	0	1	0	1	0	0	0	0	0	0
PEX13	0	0	0	1	0	1	0	0	0	0	0	0
CUX2	0	0	0	1	0	1	0	0	0	0	0	0
MAST1	0	0	0	1	0	1	6	5	1	0	0	0
PPM1G	0	0	0	1	0	1	5	3	2	0	0	0
ISYNA1	0	0	0	2	0	2	1	0	1	0	0	0
HDAC7	0	0	0	1	0	1	0	0	0	0	0	0
ALLC	0	0	0	1	0	1	2	0	2	0	0	0
FSCN2	0	0	0	1	0	1	1	0	1	0	0	0
NELF	0	0	0	2	0	2	0	0	0	0	0	0
SRPRB	0	0	0	3	0	3	0	0	0	0	0	0
MAP1LC3C	0	0	0	1	0	1	0	0	0	0	0	0
UBQLN3	0	0	0	2	0	2	7	0	7	0	0	0
MAP3K4	0	0	0	2	0	2	1	1	0	0	0	0
FRG1	0	0	0	3	0	3	0	0	0	0	0	0
YY1AP1	0	0	0	2	0	2	3	1	2	0	0	0
PAF1	0	0	0	4	0	4	0	0	0	0	0	0
DTWD1	0	0	0	2	0	2	1	0	1	0	0	0
UBXN8	0	0	0	5	0	5	1	1	0	0	0	0
SCARB1	0	0	0	2	0	2	1	0	1	0	0	0
C6orf25	0	0	0	1	0	1	0	0	0	0	0	0
TBC1D9B	0	0	0	1	0	1	0	0	0	0	0	0
BAD	0	0	0	3	0	3	1	0	1	0	0	0
QPCTL	0	0	0	1	0	1	0	0	0	0	0	0
SENP3	0	0	0	1	0	1	2	2	0	0	0	0
DFFA	0	0	0	1	0	1	0	0	0	0	0	0
GPR107	0	0	0	1	0	1	0	0	0	0	0	0
ING3	0	0	0	1	0	1	1	1	0	0	0	0
MLNR	0	0	0	1	0	1	0	0	0	0	0	0
MRPL19	0	0	0	1	0	1	1	0	1	0	0	0
CREB1	0	0	0	1	0	1	1	0	1	0	0	0
SEPW1	0	0	0	3	0	3	2	2	0	0	0	0
TRIP4	0	0	0	4	0	4	0	0	0	0	0	0
ZKSCAN4	0	0	0	3	0	3	0	0	0	0	0	0
COPS4	0	0	0	2	0	2	0	0	0	0	0	0
ACOX1	0	0	0	2	0	2	0	0	0	0	0	0
NPLOC4	0	0	0	2	0	2	0	0	0	0	0	0
AMPH	0	0	0	1	0	1	9	4	5	0	0	0
KLHL3	0	0	0	1	0	1	0	0	0	0	0	0
CACNG3	0	0	0	5	0	5	2	0	2	0	0	0
REPS2	0	0	0	2	0	2	1	1	0	0	0	0
ST6GALNAC4	0	0	0	1	0	1	1	0	1	0	0	0
PPIP5K1	0	0	0	4	0	4	0	0	0	0	0	0
HEPH	0	0	0	1	0	1	0	0	0	0	0	0
C11orf63	0	0	0	1	0	1	0	0	0	0	0	0
SIVA1	0	0	0	3	0	3	1	0	1	0	0	0
SNAP23	0	0	0	1	0	1	0	0	0	0	0	0
STIP1	0	0	0	3	0	3	2	0	2	0	0	0
IPO5	0	0	0	1	0	1	0	0	0	0	0	0
MRPS17	0	0	0	3	0	3	4	2	2	0	0	0
CETN2	0	0	0	1	0	1	1	1	0	0	0	0
ERCC1	0	0	0	3	0	3	0	0	0	0	0	0
DTX2	0	0	0	3	0	3	1	0	1	0	0	0
ECE1	0	0	0	1	0	1	0	0	0	0	0	0
OLAH	0	0	0	2	0	2	0	0	0	0	0	0
FAM174B	0	0	0	1	0	1	1	1	0	0	0	0
DNAJC8	0	0	0	1	0	1	0	0	0	0	0	0
GLTP	0	0	0	1	0	1	0	0	0	0	0	0
TWISTNB	0	0	0	5	0	5	0	0	0	0	0	0
PIWIL1	0	0	0	3	0	3	2	0	2	0	0	0
D4S234E	0	0	0	2	0	2	4	0	4	0	0	0
ARVCF	0	0	0	1	0	1	1	1	0	0	0	0
DECR2	0	0	0	5	0	5	0	0	0	0	0	0
BSCL2	0	0	0	1	0	1	0	0	0	0	0	0
CDC42SE1	0	0	0	1	0	1	1	0	1	0	0	0
UGGT1	0	0	0	3	0	3	0	0	0	0	0	0
ICK	0	0	0	2	0	2	0	0	0	0	0	0
TBX21	0	0	0	3	0	3	0	0	0	0	0	0
IQSEC3	0	0	0	2	0	2	0	0	0	0	0	0
IFT52	0	0	0	1	0	1	0	0	0	0	0	0
MTHFD2	0	0	0	3	0	3	4	2	2	0	0	0
RPRM	0	0	0	4	0	4	0	0	0	0	0	0
RGN	0	0	0	1	0	1	0	0	0	0	0	0
PRDX6	0	0	0	1	0	1	4	4	0	0	0	0
GEMIN7	0	0	0	1	0	1	2	0	2	0	0	0
DPF1	0	0	0	1	0	1	0	0	0	0	0	0
RENBP	0	0	0	4	0	4	2	0	2	0	0	0
TMEM39A	0	0	0	2	0	2	1	0	1	0	0	0
CDADC1	0	0	0	1	0	1	1	1	0	0	0	0
LILRA2	0	0	0	3	0	3	5	0	5	0	0	0
LDHAL6B	0	0	0	1	0	1	2	2	0	0	0	0
SERPINH1	0	0	0	1	0	1	0	0	0	0	0	0
ZDHHC7	0	0	0	2	0	2	0	0	0	0	0	0
DENND2D	0	0	0	2	0	2	0	0	0	0	0	0
MAN1C1	0	0	0	1	0	1	2	1	1	0	0	0
LRP12	0	0	0	1	0	1	0	0	0	0	0	0
RGS2	0	0	0	1	0	1	1	1	0	0	0	0
OSGEPL1	0	0	0	2	0	2	0	0	0	0	0	0
EIF4E2	0	0	0	5	0	5	0	0	0	0	0	0
SHC1	0	0	0	1	0	1	1	0	1	0	0	0
CSPP1	0	0	0	2	0	2	2	1	1	0	0	0
SORBS3	0	0	0	2	0	2	0	0	0	0	0	0
KLHL18	0	0	0	1	0	1	1	0	1	0	0	0
RUFY2	0	0	0	2	0	2	1	0	1	0	0	0
ZNF259	0	0	0	1	0	1	1	1	0	0	0	0
NPHS2	0	0	0	1	0	1	4	3	1	0	0	0
ARHGEF16	0	0	0	1	0	1	0	0	0	0	0	0
USP15	0	0	0	1	0	1	1	0	1	0	0	0
KIAA0240	0	0	0	2	0	2	0	0	0	0	0	0
DNAI1	0	0	0	1	0	1	2	0	2	0	0	0
SH3GLB2	0	0	0	3	0	3	3	0	3	0	0	0
PRIM2	0	0	0	2	0	2	0	0	0	0	0	0
MFI2	0	0	0	1	0	1	0	0	0	0	0	0
STAU1	0	0	0	1	0	1	1	1	0	0	0	0
ABO	0	0	0	1	0	1	0	0	0	0	0	0
CD38	0	0	0	1	0	1	2	0	2	0	0	0
TMEM41B	0	0	0	2	0	2	0	0	0	0	0	0
PPM1F	0	0	0	1	0	1	0	0	0	0	0	0
TAAR2	0	0	0	1	0	1	0	0	0	0	0	0
CRIPT	0	0	0	3	0	3	5	0	5	0	0	0
DNAJB2	0	0	0	2	0	2	0	0	0	0	0	0
HN1L	0	0	0	3	0	3	4	4	0	0	0	0
YEATS4	0	0	0	1	0	1	2	1	1	0	0	0
P2RX4	0	0	0	1	0	1	0	0	0	0	0	0
TMEM106B	0	0	0	1	0	1	0	0	0	0	0	0
HOXD11	0	0	0	3	0	3	0	0	0	0	0	0
MAN1B1	0	0	0	4	0	4	0	0	0	0	0	0
STAT2	0	0	0	2	0	2	0	0	0	0	0	0
DHODH	0	0	0	1	0	1	1	0	1	0	0	0
CDK3	0	0	0	10	0	10	0	0	0	0	0	0
GIP	0	0	0	3	0	3	0	0	0	0	0	0
ETFDH	0	0	0	1	0	1	0	0	0	0	0	0
INSRR	0	0	0	3	0	3	1	1	0	0	0	0
CCNB1IP1	0	0	0	1	0	1	0	0	0	0	0	0
AP3B1	0	0	0	1	0	1	0	0	0	0	0	0
UBE2D4	0	0	0	2	0	2	0	0	0	0	0	0
MYST1	0	0	0	2	0	2	0	0	0	0	0	0
UBE2G1	0	0	0	1	0	1	1	0	1	0	0	0
CEP290	0	0	0	3	0	3	3	3	0	0	0	0
HPS1	0	0	0	1	0	1	4	0	4	0	0	0
ATP6V0A2	0	0	0	2	0	2	0	0	0	0	0	0
CYP51A1	0	0	0	1	0	1	0	0	0	0	0	0
HMGA2	0	0	0	1	0	1	0	0	0	0	0	0
CUTC	0	0	0	2	0	2	1	1	0	0	0	0
XRCC3	0	0	0	1	0	1	0	0	0	0	0	0
SREK1IP1	0	0	0	2	0	2	0	0	0	0	0	0
EFEMP2	0	0	0	1	0	1	1	1	0	0	0	0
PAFAH1B2	0	0	0	2	0	2	0	0	0	0	0	0
EDIL3	0	0	0	2	0	2	0	0	0	0	0	0
NEDD4L	0	0	0	1	0	1	0	0	0	0	0	0
MNX1	0	0	0	2	0	2	0	0	0	0	0	0
STOML1	0	0	0	3	0	3	0	0	0	0	0	0
WHAMM	0	0	0	1	0	1	0	0	0	0	0	0
